P,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,Z,IQ
99.9,/,/,/,/,/,/,/,/,/,/,/,/,3.08,146
99.6,/,/,/,/,/,/,/,/,/,/,/,/,2.65,140
99,38,41,54,55,59,61,62,65,65,67,68,68,2.33,135
98,35,37,49,51,54,61,61,64,64,65,67,67,2.05,131
95,30,36,46,48,53,56,58,61,62,64,65,65,1.65,125
90,28,34,43,44,51,54,56,59,60,61,62,62,1.28,119
84,24,31,41,42,48,52,55,57,58,59,59,60,1.00,115
75,22,28,38,39,44,49,52,54,56,57,57,58,0.67,110
63,19,25,31,36,41,45,50,52,54,55,55,56,0.33,105
50,16,20,27,31,38,43,47,50,51,53,53,53,0.00,100
37,15,17,23,28,34,40,43,46,48,50,50,51,-0.33,95
25,13,15,19,23,31,36,39,42,44,45,47,47,-0.67,90
16,10,13,15,17,28,33,34,39,41,42,43,43,-1.00,85
10,9,12,13,15,26,29,31,35,39,39,41,41,-1.28,81
5,7,9,11,13,19,23,29,32,33,33,33,33,-1.65,76
2,5,7,9,10,12,16,17,25,25,30,32,32,-2.05,69
1,4,6,7,9,10,12,14,20,23,24,27,30,-2.33,65
0.4,/,/,/,/,/,/,/,/,/,/,/,/,-2.65,60
0.1,/,/,/,/,/,/,/,/,/,/,/,/,-3.08,54
